dico,w casen,w ws,w casen and ws,
filtered,1983,1113,168,89
filtered_first_cap,1501,654,144,65
filtered_known_cap,1162,453,134,57
filtered_all_cap,295,286,38,36
filtered_lc,869,168,96,21
