dico,w casen,w ws,w casen and ws,
filtered,4681,2776,519,352
filtered_first_cap,3653,1796,434,270
filtered_known_cap,2874,1353,407,251
filtered_all_cap,971,963,173,172
filtered_lc,1907,393,236,81
